lemma,tag
შეუძლია,V;ARGNO1S;IND;PRS
შეუძლია,V;ARGNO2S;IND;PRS
შეუძლია,V;ARGNO3S;IND;PRS
შეუძლია,V;ARGNO1P;IND;PRS
შეუძლია,V;ARGNO2P;IND;PRS
შეუძლია,V;ARGNO3P;IND;PRS
შეუძლია,V;ARGNO1S;IND;FUT
შეუძლია,V;ARGNO2S;IND;FUT
შეუძლია,V;ARGNO3S;IND;FUT
შეუძლია,V;ARGNO1P;IND;FUT
შეუძლია,V;ARGNO2P;IND;FUT
შეუძლია,V;ARGNO3P;IND;FUT
შეუძლია,V;ARGNO1S;COND
შეუძლია,V;ARGNO2S;COND
შეუძლია,V;ARGNO3S;COND
შეუძლია,V;ARGNO1P;COND
შეუძლია,V;ARGNO2P;COND
შეუძლია,V;ARGNO3P;COND
შეუძლია,V;ARGNO1S;SBJV;FUT
შეუძლია,V;ARGNO2S;SBJV;FUT
შეუძლია,V;ARGNO3S;SBJV;FUT
შეუძლია,V;ARGNO1P;SBJV;FUT
შეუძლია,V;ARGNO2P;SBJV;FUT
შეუძლია,V;ARGNO3P;SBJV;FUT
შეუძლია,V;ARGNO1S;IND;PST;PFV
შეუძლია,V;ARGNO2S;IND;PST;PFV
შეუძლია,V;ARGNO3S;IND;PST;PFV
შეუძლია,V;ARGNO1P;IND;PST;PFV
შეუძლია,V;ARGNO2P;IND;PST;PFV
შეუძლია,V;ARGNO3P;IND;PST;PFV
შეუძლია,V;ARGNO1S;OPT
შეუძლია,V;ARGNO2S;OPT
შეუძლია,V;ARGNO3S;OPT
შეუძლია,V;ARGNO1P;OPT
შეუძლია,V;ARGNO2P;OPT
შეუძლია,V;ARGNO3P;OPT
შეუძლია,V;ARGNO1S;IND;PRF
შეუძლია,V;ARGNO2S;IND;PRF
შეუძლია,V;ARGNO3S;IND;PRF
შეუძლია,V;ARGNO1P;IND;PRF
შეუძლია,V;ARGNO2P;IND;PRF
შეუძლია,V;ARGNO3P;IND;PRF
შეუძლია,V;ARGNO1S;IND;PST;PRF
შეუძლია,V;ARGNO2S;IND;PST;PRF
შეუძლია,V;ARGNO3S;IND;PST;PRF
შეუძლია,V;ARGNO1P;IND;PST;PRF
შეუძლია,V;ARGNO2P;IND;PST;PRF
შეუძლია,V;ARGNO3P;IND;PST;PRF
შეუძლია,V;ARGNO1S;SBJV;PRF
შეუძლია,V;ARGNO2S;SBJV;PRF
შეუძლია,V;ARGNO3S;SBJV;PRF
შეუძლია,V;ARGNO1P;SBJV;PRF
შეუძლია,V;ARGNO2P;SBJV;PRF
შეუძლია,V;ARGNO3P;SBJV;PRF
შეუძლია,V;V.MSDR;IPFV
